ID	Giocatore	Squadra	Ruolo	Ruolo Mod. Av.	Fuori lista	Quotazione	Presenze	Media	Media recente	Media pagella	Media recente pagella	Somma bonus malus	Somma bonus malus ultime 5
1061	BOHINEN		C	C	*	5							
620	BOLOCA	sassuolo	C	C		2	2	5,25		5,25	-1	0	0
470	BONDO	cremonese	C	C		8	13	5,77	5,6	5,85	5,7	-1	-0,5
333	BOVE	roma	C	C		1							
766	BRAMBILLA		C	C	*	2							
733	BRAUNODER		C	C	*	6							
14	BRESCIANINI	atalanta	C	C		9	4	6,75		6,13	-1	2,5	2,5
186	BUCHANAN		C	C	*	6							
256	CAJUSTE		C	C	*	2							
187	CALHANOGLU	inter	C	C		23	12	7,71	6,5	6,46	6,4	15	0,5
621	CALIGARA		C	C	*	2							
302	CAMARA		C	C	*	9							
4273	CAMARA AB.	udinese	C	C		1							
376	CAQUERET	como	C	C		11	10	5,95	5,67	5,9	5,83	0,5	0,5
149	CARBONI	genoa	C	T		8	10	5,65	6	5,75	6	-1	-0,5
548	CASADEI	torino	C	C		8	14	5,68	5,4	5,82	5,6	-2	-1
503	CASTAGNETTI		C	C	*	9							
402	CATALDI	lazio	C	C		11	12	6,21	5,75	5,96	5,75	3	0
759	CAVUOTI	cagliari	C	T		1							
695	CHARLYS		C	C	*	1							
549	CIAMMAGLICHELLA		C	C	*	1							
696	CISSE		C	T	*	2							
505	COLLOCOLO	cremonese	C	C		5	4	6,13		6,25	-1	-0,5	-0,5
637	CONCEICAO	juventus	C	T		14	11	6,36	5,9	6,09	5,9	3	0
4462	CORNET	genoa	C	T		4	3	4,17		5,17	-1	-3	-3
438	COULIBALY LA.	lecce	C	C		12	13	6,31	6,6	5,96	6,2	4,5	2
4486	CREMASCHI	parma	C	C		2	1	5,5		5,5	-1	0	0
334	CRISTANTE	roma	C	C		12	14	6,21	5,7	6,11	5,9	1,5	-1
3948	CUADRADO	pisa	C	C		11	9	6,28	6	6,06	6	2	2
150	CUENCA	genoa	C	T		2							
303	CYPRIEN		C	C	*	2							
377	DA CUNHA	como	C	C		11	12	6	6	6,04	6	-0,5	0
598	DARBOE		C	C	*	2							
257	DE BRUYNE	napoli	C	T		22	8	7,75		6,31	-1	11,5	6
15	DE KETELAERE	atalanta	C	T		17	12	6,58	6	6,08	5,9	6	0,5
16	DE ROON	atalanta	C	C		9	11	5,73	5,5	5,95	5,83	-2,5	-1
87	DEIOLA	cagliari	C	C		8	9	5,89	6,17	5,94	6,17	-0,5	0
403	DELE-BASHIRU	lazio	C	T		6	5	5,7	5,75	5,7	5,75	0	0
550	DEMBELE	torino	C	C		4	1	6		6	-1	0	0
188	DI MAGGIO		C	C	*	1							
551	DI MARCO		C	C	*	1							
4300	DIOUF	inter	C	C		6	4	5,88	5,75	5,88	5,75	0	0
228	DOUGLAS LUIZ		C	C	*	16							
581	DURMUSH		C	C	*	1							
17	EDERSON	atalanta	C	C		9	10	5,7	5,5	5,75	5,6	-0,5	-0,5
669	EKKELENKAMP	udinese	C	C		8	10	5,55	5,5	5,55	5,5	0	0
599	EL AYNAOUI	roma	C	C		10	9	5,72	5,8	5,72	5,8	0	0
49	EL AZZOUZI		C	C	*	4							
1062	ELLERTSSON	genoa	C	C		9	12	6,08	6,33	5,79	6,17	3,5	0,5
4406	ELMAS	napoli	C	T		9	9	5,78	5,8	5,83	5,9	-0,5	-0,5
734	ENGELHARDT		C	C	*	9							
198	ESPOSITO SE.	cagliari	C	T		15	13	6,73	7,8	6,08	6,4	8,5	7
304	ESTEVEZ	parma	C	C		6	7	5,79	6	5,86	6	-0,5	0
50	FABBIAN	bologna	C	C		8	8	5,75	6	5,75	6	0	0
122	FAGIOLI	fiorentina	C	C		7	11	5,45	5	5,55	5,25	-1	-1
439	FATICANTI	juventus	C	C		1							
123	FAVASULI		C	C	*	1							
124	FAZZINI	fiorentina	C	C		7	8	5,75	5,5	5,75	5,5	0	0
51	FERGUSON LE.	bologna	C	C		11	8	5,94	6,25	6	6,25	-0,5	-0,5
471	FOFANA	milan	C	C		11	13	6,15	5,5	5,96	5,63	2,5	-0,5
258	FOLORUNSHO	cagliari	C	T		8	14	5,75	5,7	5,86	5,9	-1,5	-1
189	FRATTESI	inter	C	C		9	5	6		6	-1	0	0
152	FRENDRUP	genoa	C	C		9	13	5,77	6	5,81	6	-0,5	0
52	FREULER	bologna	C	C		8	9	5,89	5,5	6	5,5	-1	-0,5
88	GAETANO	cagliari	C	T		11	12	6,17	6,5	5,92	6	3	2
5711	GAGLIARDINI	verona	C	C		8	10	6,05	5,75	6	6	0,5	-1,5
622	GHION		C	C	*	2							
259	GILMOUR	napoli	C	C		12	7	6,57	6	6,21	6	2,5	-0,5
552	GINEITIS	torino	C	C		8	9	5,72	5,83	5,72	5,83	0	0
1078	GORTER	lecce	C	C		1							
507	GRASSI	cremonese	C	C		7	9	5,72	6	5,83	6	-1	0
151	GRONBAEK	genoa	C	C		1	2	5,5	5,5	5,75	6	-0,5	-0,5
404	GUENDOUZI	lazio	C	C		14	12	6,54	7,1	6,25	6,5	3,5	3
697	HARROUI	verona	C	C		5	4	5,63	5,5	5,63	5,5	0	0
261	HASA		C	C	*	2							
440	HELGASON	lecce	C	C		4	2	5,5		5,5	-1	0	0
305	HERNANI	parma	C	C		6	3	5,67	5,5	5,67	5,5	0	0
582	HOJHOLT	pisa	C	C		4	3	5,67	5,5	5,83	5,75	-0,5	-0,5
623	IANNONI	sassuolo	C	C		4	2	7,75		6,25	-1	3	3
133	IKONE NA.		C	T	*	13							
553	ILIC IV.	torino	C	C		6	6	5,67	5,75	5,75	5,75	-0,5	-0,5
64	ILING		C	T	*	11							
554	ILKHAN	torino	C	C		1	1	5		5	-1	0	0
125	INFANTINO	fiorentina	C	C		1							
3947	JASHARI	milan	C	C		4	1	5,5		5,5	-1	0	0
583	JEVSENAK		C	C	*	4							
441	KABA	lecce	C	C		5	5	5,7	5,75	5,7	5,75	0	0
65	KARLSSON		C	T	*	10							
670	KARLSTROM	udinese	C	C		10	14	6,07	5,7	5,96	5,9	1,5	-1
698	KASTANOS	verona	C	T		2	1	6		6	-1	0	0
306	KEITA	parma	C	C		10	12	5,92	5,7	5,96	5,8	-0,5	-0,5
378	KONE		C	T	*	8							
1861	KONE IS.	sassuolo	C	C		12	12	6,38	6,6	6	6,1	4,5	2,5
336	KONE KO.	roma	C	C		14	14	6,25	6,4	6,18	6,2	1	1
229	KOOPMEINERS	juventus	C	T		10	12	5,71	6	5,88	6	-2	0
230	KOSTIC	juventus	C	T		14	7	7,14	7,63	6,14	6,13	7	6
1093	KOUDA		C	C	*	5							
1079	KOVAC	lecce	C	C		1							
555	LAZARO	torino	C	C		9	13	5,85	5,7	5,85	5,8	0	-0,5
584	LEONCINI		C	C	*	1							
624	LIPANI	sassuolo	C	C		3	3	5,5	5,5	5,5	5,5	0	0
5773	LITETA	cagliari	C	C		2	1	5,5	5,5	5,5	5,5	0	0
263	LOBOTKA	napoli	C	C		12	9	6,28	6	6,22	6,17	0,5	-0,5
231	LOCATELLI	juventus	C	C		12	13	6	6,4	6,12	6,4	-1,5	0
472	LOFTUS-CHEEK	milan	C	C		12	10	6,2	5,67	5,9	5,67	3	0
508	LORDKIPANIDZE	cremonese	C	C		1	1	6		6	-1	0	0
4407	LORRAN	pisa	C	T		7	3	6,83	5,5	5,83	5,5	3	3
671	LOVRIC	udinese	C	C		7	3	5,83		5,67	-1	0,5	0,5
190	LUIS HENRIQUE	inter	C	C		12	7	6,14	6,5	6	6,17	1	1
18	MALDINI	atalanta	C	T		4	4	5,63		5,75	-1	-0,5	-0,5
1080	MALEH	lecce	C	C		4	3	5,67	5,5	5,67	5,5	0	0
154	MALINOVSKYI	genoa	C	T		13	12	6,33	7,75	5,96	6,38	4,5	5,5
649	MAN		C	T	*	16							
126	MANDRAGORA	fiorentina	C	C		16	14	6,75	7	6	6,1	10,5	4,5
442	MARCHWINSKI	lecce	C	C		1							
91	MARIN		C	C	*	8							
585	MARIN MA.	pisa	C	C		6	10	5,5	5,5	5,6	5,67	-1	-0,5
155	MASINI	genoa	C	C		8	13	5,73	5,75	5,85	5,88	-1,5	-0,5
4317	MATIC	sassuolo	C	C		15	13	6,46	7,1	6,27	6,5	2,5	3
4930	MAUCCI	pisa	C	T		1							
736	MAZZAGLIA		C	C	*	1							
379	MAZZITELLI	cagliari	C	C		2	2	5,75	6	6	6	-0,5	-0,5
443	MCJANNETT		C	C	*	7							
232	MCKENNIE	juventus	C	C		11	11	6	6,2	6	6,1	0	0,5
265	MCTOMINAY	napoli	C	C		21	13	6,96	6,6	6,35	6,4	8	1
510	MILANESE		C	C	*	2							
4014	MILLER	udinese	C	C		3	2	5,25		5,5	-1	-0,5	-0,5
156	MIRETTI	juventus	C	C		5	3	5,83	5,83	6	6	-0,5	-0,5
191	MKHITARYAN	inter	C	C		9	8	5,88	6	6	6	-1	-0,5
473	MODRIC	milan	C	C		18	14	6,79	6,4	6,5	6,5	4	-0,5
53	MORO NI.	bologna	C	C		11	9	6,5	5,88	6,22	6	2,5	-0,5
406	MUNOZ LOPEZ		C	T	*	1							
474	MUSAH	atalanta	C	C		7	4	6,13		6,13	-1	0	0
127	NDOUR	fiorentina	C	C		6	10	5,55	5,4	5,6	5,5	-0,5	-0,5
699	NIASSE	verona	C	C		8	8	5,88	5,83	5,88	5,83	0	0
380	NICO PAZ	como	C	T		28	14	7,89	7,2	6,54	6,4	19	4
4371	NICOLUSSI CAVIGLIA	fiorentina	C	C		7	8	5,81	5,5	5,81	5,75	0	0
4405	ONANA JE.	genoa	C	C		2	1	5,5		5,5	-1	0	0
1094	ORDONEZ	parma	C	C		3	7	5,21	4,5	5,5	5	-2	-1,5
4358	ORISTANIO	parma	C	T		5	5	5,7	5,5	5,8	5,5	-0,5	-0,5
444	OUDIN		C	C	*	11							
233	OWUSU		C	C	*	1							
